,Unnamed: 0,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
33,34,Numb Little Bug,Em Beihold,3o9kpgkIcffx0iSwxhuNI2,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,audio_features,3o9kpgkIcffx0iSwxhuNI2,spotify:track:3o9kpgkIcffx0iSwxhuNI2,https://api.spotify.com/v1/tracks/3o9kpgkIcffx0iSwxhuNI2,https://api.spotify.com/v1/audio-analysis/3o9kpgkIcffx0iSwxhuNI2,169238,4
34,35,Shivers,Ed Sheeran,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/tracks/50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/audio-analysis/50nfwKoDiSYg8zOCREWAm5,207853,4
35,36,Bam Bam,Camila Cabello Featuring Ed Sheeran,0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,audio_features,0QBzMgT7NIeoCYy3sJCof1,spotify:track:0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/tracks/0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/audio-analysis/0QBzMgT7NIeoCYy3sJCof1,206071,4
36,37,Cold Heart (PNAU Remix),Elton John & Dua Lipa,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,6zSpb8dQRaw0M1dK8PBwQz,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,202735,4
37,38,Puffin On Zootiez,Future,1qMMYpVatbRITKCfq1gasi,0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,0.284,124.992,audio_features,1qMMYpVatbRITKCfq1gasi,spotify:track:1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/tracks/1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/audio-analysis/1qMMYpVatbRITKCfq1gasi,172933,4
38,39,Sweetest Pie,Megan Thee Stallion & Dua Lipa,7mFj0LlWtEJaEigguaWqYh,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,audio_features,7mFj0LlWtEJaEigguaWqYh,spotify:track:7mFj0LlWtEJaEigguaWqYh,https://api.spotify.com/v1/tracks/7mFj0LlWtEJaEigguaWqYh,https://api.spotify.com/v1/audio-analysis/7mFj0LlWtEJaEigguaWqYh,201334,4
39,40,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",2g6tReTlM2Akp41g0HaeXN,0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,audio_features,2g6tReTlM2Akp41g0HaeXN,spotify:track:2g6tReTlM2Akp41g0HaeXN,https://api.spotify.com/v1/tracks/2g6tReTlM2Akp41g0HaeXN,https://api.spotify.com/v1/audio-analysis/2g6tReTlM2Akp41g0HaeXN,239027,4
40,41,Something In The Orange,Zach Bryan,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3
41,42,Cooped Up,Post Malone Featuring Roddy Ricch,7DwcBgdzqhFJltEaV1XF81,0.669,0.773,0,-5.619,1,0.153,0.038,0.0,0.113,0.377,93.923,audio_features,7DwcBgdzqhFJltEaV1XF81,spotify:track:7DwcBgdzqhFJltEaV1XF81,https://api.spotify.com/v1/tracks/7DwcBgdzqhFJltEaV1XF81,https://api.spotify.com/v1/audio-analysis/7DwcBgdzqhFJltEaV1XF81,185857,4
42,43,Trouble With A Heartbreak,Jason Aldean,3HO30hRbkOLU6ZWERayfQO,0.582,0.797,5,-4.926,1,0.0334,0.23,0.0,0.132,0.595,135.973,audio_features,3HO30hRbkOLU6ZWERayfQO,spotify:track:3HO30hRbkOLU6ZWERayfQO,https://api.spotify.com/v1/tracks/3HO30hRbkOLU6ZWERayfQO,https://api.spotify.com/v1/audio-analysis/3HO30hRbkOLU6ZWERayfQO,196027,4
43,45,'Til You Can't,Cody Johnson,4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,audio_features,4k3lPl8YTKuY8c1HelVnm3,spotify:track:4k3lPl8YTKuY8c1HelVnm3,https://api.spotify.com/v1/tracks/4k3lPl8YTKuY8c1HelVnm3,https://api.spotify.com/v1/audio-analysis/4k3lPl8YTKuY8c1HelVnm3,224213,4
44,46,MAMIII,Becky G X Karol G,1ri9ZUkBJVFUdgwzCnfcYs,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,audio_features,1ri9ZUkBJVFUdgwzCnfcYs,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/tracks/1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/audio-analysis/1ri9ZUkBJVFUdgwzCnfcYs,226088,4
45,47,Take My Name,Parmalee,2afB4eV1KWBqLqFqME6PTh,0.559,0.66,7,-4.143,1,0.0512,0.222,0.0,0.193,0.574,163.957,audio_features,2afB4eV1KWBqLqFqME6PTh,spotify:track:2afB4eV1KWBqLqFqME6PTh,https://api.spotify.com/v1/tracks/2afB4eV1KWBqLqFqME6PTh,https://api.spotify.com/v1/audio-analysis/2afB4eV1KWBqLqFqME6PTh,157907,4
46,48,Silent Hill,Kendrick Lamar & Kodak Black,3lzUeaCbcCDB5IXYfqWRlF,0.907,0.577,1,-6.737,0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,audio_features,3lzUeaCbcCDB5IXYfqWRlF,spotify:track:3lzUeaCbcCDB5IXYfqWRlF,https://api.spotify.com/v1/tracks/3lzUeaCbcCDB5IXYfqWRlF,https://api.spotify.com/v1/audio-analysis/3lzUeaCbcCDB5IXYfqWRlF,220779,4
47,49,Ojitos Lindos,Bad Bunny & Bomba Estereo,3k3NWokhRRkEPhCzPmV8TW,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,audio_features,3k3NWokhRRkEPhCzPmV8TW,spotify:track:3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/audio-analysis/3k3NWokhRRkEPhCzPmV8TW,258299,4
48,50,AA,Walker Hayes,77oKig47u34qCCFWKMfu1e,0.635,0.747,4,-6.227,1,0.0293,0.00313,0.0,0.346,0.753,104.027,audio_features,77oKig47u34qCCFWKMfu1e,spotify:track:77oKig47u34qCCFWKMfu1e,https://api.spotify.com/v1/tracks/77oKig47u34qCCFWKMfu1e,https://api.spotify.com/v1/audio-analysis/77oKig47u34qCCFWKMfu1e,189560,4
49,51,Thousand Miles,The Kid LAROI,1r8ZCjfrQxoy2wVaBUbpwg,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565,audio_features,1r8ZCjfrQxoy2wVaBUbpwg,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/tracks/1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/audio-analysis/1r8ZCjfrQxoy2wVaBUbpwg,164782,4
50,52,In A Minute,Lil Baby,3ihIZrJreMJPjQdNLrEXnP,0.643,0.605,4,-5.968,0,0.297,0.0336,0.0,0.112,0.145,84.216,audio_features,3ihIZrJreMJPjQdNLrEXnP,spotify:track:3ihIZrJreMJPjQdNLrEXnP,https://api.spotify.com/v1/tracks/3ihIZrJreMJPjQdNLrEXnP,https://api.spotify.com/v1/audio-analysis/3ihIZrJreMJPjQdNLrEXnP,200471,4
51,54,Tarot,Bad Bunny & Jhay Cortez,41oY4WCTj5kccfesTVFnvN,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,audio_features,41oY4WCTj5kccfesTVFnvN,spotify:track:41oY4WCTj5kccfesTVFnvN,https://api.spotify.com/v1/tracks/41oY4WCTj5kccfesTVFnvN,https://api.spotify.com/v1/audio-analysis/41oY4WCTj5kccfesTVFnvN,237895,4
52,55,Un Ratito,Bad Bunny,5CzixCxDkRXX9mScCmah8O,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,audio_features,5CzixCxDkRXX9mScCmah8O,spotify:track:5CzixCxDkRXX9mScCmah8O,https://api.spotify.com/v1/tracks/5CzixCxDkRXX9mScCmah8O,https://api.spotify.com/v1/audio-analysis/5CzixCxDkRXX9mScCmah8O,176936,4
53,56,Damn Strait,Scotty McCreery,4jp9FimhP2bQ93vR0A5r7b,0.523,0.64,4,-6.15,1,0.0295,0.0512,5.52e-05,0.0675,0.48,144.022,audio_features,4jp9FimhP2bQ93vR0A5r7b,spotify:track:4jp9FimhP2bQ93vR0A5r7b,https://api.spotify.com/v1/tracks/4jp9FimhP2bQ93vR0A5r7b,https://api.spotify.com/v1/audio-analysis/4jp9FimhP2bQ93vR0A5r7b,230227,4
54,57,Get Into It (Yuh),Doja Cat,0W6I02J9xcqK8MtSeosEXb,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,audio_features,0W6I02J9xcqK8MtSeosEXb,spotify:track:0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/tracks/0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/audio-analysis/0W6I02J9xcqK8MtSeosEXb,138293,4
55,58,Hotel Lobby (Unc And Phew),Quavo & Takeoff,0QNNd0qMCDbraS1nQPg3aA,0.821,0.636,11,-4.479,1,0.169,0.142,0.0,0.233,0.163,127.961,audio_features,0QNNd0qMCDbraS1nQPg3aA,spotify:track:0QNNd0qMCDbraS1nQPg3aA,https://api.spotify.com/v1/tracks/0QNNd0qMCDbraS1nQPg3aA,https://api.spotify.com/v1/audio-analysis/0QNNd0qMCDbraS1nQPg3aA,142657,4
56,59,She's All I Wanna Be,Tate McRae,0IuVhCflrQPMGRrOyoY5RW,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036,audio_features,0IuVhCflrQPMGRrOyoY5RW,spotify:track:0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/tracks/0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/audio-analysis/0IuVhCflrQPMGRrOyoY5RW,206772,4
