Unnamed: 0,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature
3226,Sexual Healing,Marvin Gaye,3VZmChrnVW8JK6ano4gSED,0.805,0.602,0,-9.7,0,0.0579,0.119,0.000122,0.0581,0.744,94.382,audio_features,3VZmChrnVW8JK6ano4gSED,spotify:track:3VZmChrnVW8JK6ano4gSED,https://api.spotify.com/v1/tracks/3VZmChrnVW8JK6ano4gSED,https://api.spotify.com/v1/audio-analysis/3VZmChrnVW8JK6ano4gSED,238600,4
3229,Save a Prayer - 2009 Remaster,Duran Duran,1ff8lsrJ2kuZuofMw81EQo,0.572,0.706,9,-8.707,0,0.0283,0.35,0.0,0.159,0.671,113.595,audio_features,1ff8lsrJ2kuZuofMw81EQo,spotify:track:1ff8lsrJ2kuZuofMw81EQo,https://api.spotify.com/v1/tracks/1ff8lsrJ2kuZuofMw81EQo,https://api.spotify.com/v1/audio-analysis/1ff8lsrJ2kuZuofMw81EQo,333307,4
3230,Should I Stay or Should I Go - Remastered,The Clash,39shmbIHICJ2Wxnk1fPSdz,0.743,0.836,2,-6.465,1,0.116,0.0804,0.0,0.384,0.82,113.375,audio_features,39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/audio-analysis/39shmbIHICJ2Wxnk1fPSdz,188987,4
3231,P.Y.T. (Pretty Young Thing),Michael Jackson,5lA3pwMkBdd24StM90QrNR,0.888,0.815,11,-4.909,0,0.0404,0.23,0.000424,0.127,0.961,127.273,audio_features,5lA3pwMkBdd24StM90QrNR,spotify:track:5lA3pwMkBdd24StM90QrNR,https://api.spotify.com/v1/tracks/5lA3pwMkBdd24StM90QrNR,https://api.spotify.com/v1/audio-analysis/5lA3pwMkBdd24StM90QrNR,238733,4
3232,Wanna Be Startin' Somethin',Michael Jackson,2kulOHR2XY6YDZCWXb38hn,0.846,0.922,6,-4.206,0,0.0438,0.0219,0.355,0.0623,0.899,122.195,audio_features,2kulOHR2XY6YDZCWXb38hn,spotify:track:2kulOHR2XY6YDZCWXb38hn,https://api.spotify.com/v1/tracks/2kulOHR2XY6YDZCWXb38hn,https://api.spotify.com/v1/audio-analysis/2kulOHR2XY6YDZCWXb38hn,362373,4
3233,It's Raining Again,Supertramp,2bzBI23EJWHjXmGj3xlYaM,0.603,0.674,10,-6.808,1,0.0295,0.62,0.00261,0.26,0.559,121.261,audio_features,2bzBI23EJWHjXmGj3xlYaM,spotify:track:2bzBI23EJWHjXmGj3xlYaM,https://api.spotify.com/v1/tracks/2bzBI23EJWHjXmGj3xlYaM,https://api.spotify.com/v1/audio-analysis/2bzBI23EJWHjXmGj3xlYaM,264240,4
3234,Steppin' Out,Joe Jackson,2KY0QUeRY3IPuJI1gyU9BJ,0.579,0.223,11,-20.208,1,0.0364,0.0439,0.00232,0.0613,0.532,159.696,audio_features,2KY0QUeRY3IPuJI1gyU9BJ,spotify:track:2KY0QUeRY3IPuJI1gyU9BJ,https://api.spotify.com/v1/tracks/2KY0QUeRY3IPuJI1gyU9BJ,https://api.spotify.com/v1/audio-analysis/2KY0QUeRY3IPuJI1gyU9BJ,268200,4
3236,Sunday Bloody Sunday - Remastered 2008,U2,6C4LXC9UFH1IKiHYOp0BiJ,0.543,0.944,6,-7.495,1,0.0543,0.402,0.000564,0.0373,0.735,101.174,audio_features,6C4LXC9UFH1IKiHYOp0BiJ,spotify:track:6C4LXC9UFH1IKiHYOp0BiJ,https://api.spotify.com/v1/tracks/6C4LXC9UFH1IKiHYOp0BiJ,https://api.spotify.com/v1/audio-analysis/6C4LXC9UFH1IKiHYOp0BiJ,279440,4
3237,Every Breath You Take,The Police,1JSTJqkT5qHq8MDJnJbRE1,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,audio_features,1JSTJqkT5qHq8MDJnJbRE1,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/tracks/1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/audio-analysis/1JSTJqkT5qHq8MDJnJbRE1,253920,4
3238,Mama - 2007 Remaster,Genesis,6kIwzLSiQU51taaaZ9zWSE,0.556,0.769,9,-10.536,1,0.0422,0.289,0.502,0.793,0.635,82.898,audio_features,6kIwzLSiQU51taaaZ9zWSE,spotify:track:6kIwzLSiQU51taaaZ9zWSE,https://api.spotify.com/v1/tracks/6kIwzLSiQU51taaaZ9zWSE,https://api.spotify.com/v1/audio-analysis/6kIwzLSiQU51taaaZ9zWSE,410347,4
